ABBR,Primary_Long_Form,Primary_Num_Variants,Alternative_Long_Form,Alternative_Num_Variants,Primary_Long_Form_Score,Alternative_Long_Form_Score
GGT,gamma-glutamyl transpeptidase,408,gamma-glutamyltranspeptidase,201,0.7712,0.547
GTT,glucose tolerance test,208,gestational trophoblastic tumor,36,0.9556,0.9174
GVHD,graft-versus-host disease,3259,graft vs host disease,33,0.9877,0.9648
GVH,graft-versus-host,257,graft-vs-host,50,0.9467,0.8594
HCT,Hematopoietic cell transplantation,126,Helical Computed Tomography,26,0.6988,0.584
HIV,human Immunodeficiency virus,16155,Human Immunodeficiency Virus type 1,103,0.9813,0.9726
HPV,human papillomavirus,4837,hypoxic pulmonary vasoconstriction,289,0.9889,0.9498
HSV,herpes simplex virus,3866,highly selective vagotomy,82,0.9874,0.9422
ICA,internal carotid artery,1396,islet cell antibodies,267,0.9866,0.9704
ICD,implantable cardioverter defibrillator,469,international Classification of Diseases,145,0.89,0.9467
INH,isoniazid,640,isonicotinic acid hydrazide,96,0.7205,0.92
ITP,idiopathic thrombocytopenic purpura,1091,immune thrombocytopenia,63,0.6936,0.4596
IUGR,intrauterine growth retardation,849,Intrauterine growth retarded,33,0.8597,0.6976
IVC,inferior vena cava,1134,intravenous cholangiography,30,0.9857,0.8032
IVP,intravenous pyelography,108,vitro produced,27,0.9047,0.8312
LAD,left anterior descending coronary artery,1194,Leukocyte adhesion deficiency,76,0.9743,0.7766
LDL,low-density lipoprotein,4577,loudness discomfort level,23,0.9842,0.8715
LMP,latent membrane protein,156,low malignant potential,118,0.8205,0.9746
MAI,Mycobacterium avium-intracellulare,80,mitotic activity index,56,0.8336,0.9467
MCA,middle cerebral artery,2332,monoclonal antibodies,97,0.9817,0.9352
MCH,Melanin-concentrating hormone,327,Maternal and Child Health,169,0.79,0.8391
MCV,mean corpuscular volume,519,molluscum contagiosum virus,60,0.9692,0.9503
MDI,metered dose inhaler,210,Mental Development Index,52,0.9626,0.9099
MDS,myelodysplastic syndrome,1522,minimum data set,159,0.981,0.9509
MMF,Mycophenolate mofetil,890,maxillomandibular fixation,33,0.9644,0.7238
MRA,magnetic resonance angiography,974,MR angiography,325,0.9795,0.2206
MRCP,Magnetic resonance cholangiopancreatography,214,MR cholangiopancreatography,99,0.9859,0.2783
MRSA,Methicillin-resistant Staphylococcus aureus,2241,methicillin-resistant,53,0.8475,0.4232
MTP,microsomal triglyceride transfer protein,196,mitochondrial transmembrane potential,20,0.9847,0.8525
MVA,mitral valve area,127,Modified vaccinia virus Ankara,92,0.9502,0.9005
NOS,nitric oxide synthase,4086,not otherwise specified,113,0.9909,0.9437
NPH,normal pressure hydrocephalus,218,neutral protamine Hagedorn,51,0.9863,0.8821
NST,nucleus of the solitary tract,142,nonstress test,82,0.9792,0.4553
NTD,neural tube defects,244,N-terminal domain,45,0.9803,0.5045
OCD,obsessive-compulsive disorder,1489,Osteochondritis dissecans,57,0.8233,0.7891
OTC,over-the-counter,428,ornithine transcarbamylase,275,0.7433,0.9713
PAC,pulmonary artery catheter,92,powdered activated carbon,48,0.9479,0.7595
PCA,principal component analysis,799,patient-controlled analgesia,677,0.9508,0.9325
PCI,percutaneous coronary intervention,993,prophylactic cranial irradiation,123,0.9812,0.937
PCR,polymerase chain reaction,22403,protein catabolic rate,107,0.9737,0.9721
PDA,patent ductus arteriosus,690,Personal Digital Assistant,68,0.8829,0.9306
PEG,polyethylene glycol,1644,percutaneous endoscopic gastrostomy,565,0.7117,0.9781
PET,Positron emission tomography,6894,Peritoneal Equilibration Test,191,0.9788,0.9843
PFO,patent foramen ovale,306,perfringolysin O,21,0.8951,0.8594
PIC,polymorphism information content,91,phosphoinositidase C,34,0.6518,0.5846
PID,pelvic inflammatory disease,770,postinoculation day,68,0.9859,0.4721
PIH,pregnancy-induced hypertension,363,pyridoxal isonicotinoyl hydrazone,53,0.5434,0.8842
PIP,proximal interphalangeal,197,peak inspiratory pressure,143,0.9602,0.8947
PMD,Pelizaeus-Merzbacher disease,91,progressive muscular dystrophy,25,0.8291,0.8816
PMI,postmortem interval,69,perioperative myocardial infarction,55,0.7238,0.5619
PND,postnatal day,495,prenatal diagnosis,55,0.9275,0.8882
PPD,purified protein derivative,864,probing pocket depth,101,0.9621,0.8755
PPI,prepulse inhibition,451,proton pump inhibitor,224,0.9222,0.9786
PRN,paramedian reticular nucleus,29,plaque reduction neutralization,27,0.8422,0.8903
PSA,prostate-specific antigen,3496,polysialic acid,138,0.8986,0.7401
PTH,parathyroid hormone,4983,post-transfusion hepatitis,40,0.989,0.4242
PTSD,posttraumatic stress disorder,2115,post-traumatic stress disorder,794,0.6906,0.2582
PVC,polyvinyl chloride,430,premature ventricular contractions,53,0.7525,0.9132
RAP,right atrial pressure,215,receptor-associated protein,194,0.9779,0.7211
RBC,red blood cell,2040,Ranitidine bismuth citrate,60,0.9876,0.8971
RCA,right coronary artery,570,Ricinus communis agglutinin,83,0.9887,0.8767
ROS,reactive oxygen species,6666,rod outer segments,311,0.9888,0.9612
RSV,respiratory syncytial virus,2286,Rous sarcoma virus,618,0.9912,0.9871
SAB,spontaneous abortion,31,Staphylococcus aureus bacteremia,21,0.9043,0.5721
SBP,systolic blood pressure,2388,spontaneous bacterial peritonitis,187,0.957,0.9659
SLE,systemic lupus erythematosus,9271,Louis encephalitis,159,0.9932,0.9701
SMA,spinal muscular atrophy,563,superior mesenteric artery,555,0.9885,0.9689
STD,sexually transmitted disease,1180,Saturation transfer difference,21,0.97,0.8594
TBI,Traumatic brain injury,2190,total body irradiation,1026,0.988,0.9818
TEE,transesophageal echocardiography,1267,total energy expenditure,226,0.8802,0.8499
TIPS,Transjugular intrahepatic portosystemic shunt,481,transjugular intrahepatic portosystemic shunting,24,0.9726,0.8115
TPA,phorbol ester 12-O-tetradecanoylphorbol-13-acetate,245,tumor promoter 12-O-tetradecanoylphorbol-13-acetate,251,0.986,0.8379
TSH,thyroid-stimulating hormone,1454,thyrotropin,2181,0.9617,0.4073
TTP,thrombotic thrombocytopenic purpura,766,Time to progression,220,0.9724,0.6594
VAC,vacuum-assisted closure,25,vaccinia virus,21,0.6411,0.7865
VAD,ventricular assist device,184,vitamin A deficiency,63,0.9499,0.9003
VATS,Video-assisted thoracic surgery,279,video-assisted thoracoscopic surgery,261,0.9042,0.8866
VBAC,Vaginal birth after cesarean,43,vaginal birth after cesarean section,23,0.9323,0.8715
