ABBR,a_primary_lp,a_alt_lp,a_answer_logprob_diff,c_primary_lp,c_alt_lp,c_answer_logprob_diff,row_count
CSF,-1.00703125,-3.103125,2.0960937499999996,-1.18203125,-0.4123046875,-0.7697265625,5
CTA,-0.97578125,-6.425,5.44921875,-2.6859375,-0.90546875,-1.78046875,5
CVA,-1.05703125,-3.821875,2.76484375,-2.1796875,-0.2578125,-1.921875,5
CVI,-0.0468994140625,-2.984375,2.9374755859375,-0.3546875,-1.0984375,0.7437499999999999,5
CVS,-1.05546875,-6.84375,5.78828125,-1.52265625,-4.48125,2.9585937500000004,5
DIC,-0.051806640625,-4.85,4.7981933593749995,-0.51298828125,-2.1703125,1.6573242187500001,5
DIP,-0.558203125,-2.86875,2.310546875,-1.025,-0.434765625,-0.5902343749999999,5
DLCO,-0.77890625,-2.0390625,1.26015625,-1.0671875,-1.3125,0.24531250000000004,5
DNR,-0.798828125,-2.909375,2.110546875,-3.1125,-0.871875,-2.2406249999999996,5
DWI,-1.11953125,-5.325,4.20546875,-1.3859375,-2.5609375,1.175,5
EBL,-0.2720703125,-2.459375,2.1873046875,-1.87265625,-0.7296875,-1.1429687499999999,5
ECG,-0.8734375,-2.3125,1.4390625,-1.053125,-1.3203125,0.2671874999999999,5
ECT,-0.739453125,-4.290625,3.5511718750000005,-1.0328125,-1.3484375,0.31562500000000004,5
EDD,-0.1453125,-1.9484375,1.803125,-0.62109375,-1.178125,0.5570312500000001,5
EHL,-0.69765625,-2.571875,1.8742187499999998,-1.80625,-0.66484375,-1.14140625,5
EKG,-0.98046875,-2.11875,1.13828125,-1.04765625,-1.73125,0.68359375,5
EMS,-0.109716796875,-2.6125,2.502783203125,-0.7560546875,-0.9810546875,0.22499999999999998,5
EPO,-0.73984375,-2.4875,1.74765625,-1.45703125,-1.11640625,-0.34062499999999996,5
ERCP,-0.465625,-0.465625,0.0,-0.66484375,-0.06357421875,-0.6012695312499999,5
ESR,-1.9484375,-1.8890625,-0.059374999999999956,-2.55625,-0.88046875,-1.67578125,5
FFP,-1.68125,-8.475,6.793749999999999,-2.21875,-3.2171875,0.9984375000000001,5
GCT,-7.29375,-4.25,-3.04375,-7.325,-1.94375,-5.38125,5
GGT,-0.43740234375,-0.77265625,0.33525390625000007,-0.74765625,-0.43291015625,-0.31474609375,5
GTT,-1.5890625,-2.0734375,0.4843749999999998,-2.1296875,-0.95234375,-1.1773437500000001,5
GVHD,-1.07578125,-2.259375,1.18359375,-1.434375,-1.409375,-0.02499999999999991,5
GVH,-1.009375,-2.471875,1.4625,-1.5296875,-1.4234375,-0.10625000000000018,5
HCT,-0.1306640625,-2.021875,1.8912109375000001,-0.838671875,-0.17943115234375,-0.65924072265625,5
HIV,-0.9921875,-1.2765625,0.28437500000000004,-2.0890625,-0.407421875,-1.6816406249999998,5
HPV,-0.9625,-2.69375,1.7312500000000002,-0.97890625,-1.2109375,0.23203125000000002,5
HSV,-1.2859375,-6.475,5.1890624999999995,-1.559375,-2.7671875,1.2078125,5
ICA,-0.98515625,-4.81875,3.8335937499999995,-1.5984375,-1.6671875,0.06875000000000009,5
ICD,-0.63515625,-4.18125,3.5460937500000003,-1.64453125,-1.6875,0.04296875,5
INH,-1.2734375,-1.07734375,-0.19609374999999996,-2.0390625,-0.5953125,-1.44375,5
ITP,-0.42578125,-1.3703125,0.94453125,-0.70078125,-0.734375,0.03359374999999998,5
IUGR,-0.91640625,-1.3296875,0.41328124999999993,-1.275,-0.2306640625,-1.0443359374999999,5
IVC,-0.98671875,-2.915625,1.9289062499999998,-1.11015625,-0.98203125,-0.12812499999999993,5
IVP,-0.834375,-14.275,13.440625,-1.15,-8.39375,7.24375,5
LAD,-1.3703125,-2.0671875,0.6968750000000001,-2.309375,-0.262939453125,-2.046435546875,5
LDL,-0.7515625,-6.46875,5.7171875,-0.7984375,-2.403125,1.6046875000000003,5
LMP,-1.28828125,-4.85625,3.5679687500000004,-1.659375,-1.9375,0.27812499999999996,5
MAI,-0.043505859375,-4.5375,4.4939941406249995,-0.8421875,-0.90625,0.06406250000000002,5
MCA,-1.21015625,-4.0125,2.8023437500000004,-1.2671875,-2.228125,0.9609375,5
MCH,-0.067919921875,-2.834375,2.766455078125,-0.546484375,-0.190625,-0.35585937500000003,5
MCV,-1.190625,-2.90625,1.715625,-2.1703125,-1.601171875,-0.5691406250000002,5
MDI,-1.0140625,-4.95,3.9359375,-2.3328125,-0.15673828125,-2.17607421875,5
MDS,-0.609765625,-6.28125,5.671484375,-0.85859375,-2.0125,1.1539062500000001,5
MMF,-0.1197265625,-2.759375,2.6396484375,-0.51484375,-1.21796875,0.703125,5
MRA,-1.35,-2.54375,1.19375,-1.453125,-1.5109375,0.057812500000000044,5
MRCP,-0.113525390625,-0.7734375,0.659912109375,-0.1943359375,-0.3267578125,0.13242187500000002,5
MRSA,-0.047314453125,-1.50625,1.458935546875,-0.112109375,-1.24765625,1.135546875,5
MTP,-0.3330078125,-3.2875,2.9544921875,-1.3796875,-0.72265625,-0.65703125,5
MVA,-1.01484375,-3.475,2.46015625,-4.0375,-0.1390625,-3.8984374999999996,5
NOS,-0.9140625,-4.36875,3.4546875000000004,-0.95390625,-2.1625,1.2085937500000001,5
NPH,-0.982421875,-3.4375,2.455078125,-1.50703125,-0.8796875,-0.6273437500000001,5
NST,-0.821875,-6.1625,5.340624999999999,-2.28125,-1.4078125,-0.8734375000000001,5
NTD,-1.5734375,-4.0875,2.5140625000000005,-2.0734375,-1.54921875,-0.5242187499999997,5
OCD,-1.10546875,-2.03125,0.92578125,-1.5546875,-0.25205078125,-1.30263671875,5
OTC,-1.33515625,-1.9578125,0.6226562499999999,-2.2328125,-0.802734375,-1.430078125,5
PAC,-0.9703125,-6.4375,5.4671875,-1.4234375,-3.56875,2.1453125,5
PCA,-1.4890625,-3.284375,1.7953124999999999,-2.384375,-1.10859375,-1.2757812499999999,5
PCI,-0.9640625,-2.6625,1.6984375,-1.38125,-1.34140625,-0.03984375000000018,5
PCR,-1.0625,-3.725,2.6625,-1.0359375,-1.653125,0.6171875,5
PDA,-0.92578125,-4.196875,3.2710937500000004,-1.43828125,-0.594140625,-0.844140625,5
PEG,-1.18671875,-1.8375,0.6507812499999999,-1.3734375,-0.95078125,-0.42265625000000007,5
PET,-0.2091796875,-1.6203125,1.4111328125,-0.748828125,-0.1597412109375,-0.5890869140624999,5
PFO,-0.98828125,-3.103125,2.11484375,-0.9359375,-1.25,0.3140625,5
PIC,-1.2625,-4.225,2.9624999999999995,-2.075,-1.065625,-1.0093750000000001,5
PID,-1.29609375,-4.94375,3.64765625,-1.59375,-1.4359375,-0.1578124999999999,5
PIH,-2.0703125,-1.9671875,-0.10312499999999991,-3.6,-0.3953125,-3.2046875,5
PIP,-0.521484375,-3.61875,3.097265625,-0.97890625,-1.16328125,0.18437500000000007,5
PMD,-0.0852294921875,-4.2,4.1147705078125005,-0.6875,-1.165234375,0.47773437500000004,5
PMI,-1.0046875,-3.25,2.2453125,-1.659375,-0.8265625,-0.8328125000000001,5
PND,-1.75,-9.8,8.05,-2.165625,-4.74375,2.5781250000000004,5
PPI,-1.567578125,-6.1375,4.569921875,-2.584375,-1.90234375,-0.6820312500000001,5
PRN,-1.12421875,-4.4125,3.28828125,-3.325,-1.29296875,-2.03203125,5
PSA,-1.6984375,-4.35625,2.6578125000000004,-1.734375,-1.9625,0.2281249999999999,5
PTH,-1.253125,-5.43125,4.1781250000000005,-1.1296875,-2.64375,1.5140624999999999,5
PTSD,-0.936328125,-1.26328125,0.32695312499999996,-1.409375,-0.904296875,-0.505078125,5
PVC,-0.975,-3.7375,2.7624999999999997,-2.0265625,-1.40234375,-0.6242187499999998,5
RAP,-0.93984375,-5.75,4.81015625,-2.2328125,-1.46640625,-0.7664062500000002,5
RBC,-1.528125,-2.1375,0.6093750000000002,-1.6859375,-0.4611328125,-1.2248046875,5
RCA,-1.5421875,-2.534375,0.9921874999999998,-2.140625,-0.450390625,-1.690234375,5
ROS,-1.5359375,-5.8125,4.2765625,-1.875,-3.0390625,1.1640625,5
SBP,-1.27578125,-3.08125,1.8054687499999997,-2.846875,-1.471875,-1.3749999999999998,5
SLE,-0.76796875,-3.665625,2.89765625,-0.809375,-1.884375,1.075,5
SMA,-0.68359375,-2.74375,2.06015625,-0.896875,-1.096875,0.20000000000000007,5
STD,-1.30859375,-4.475,3.1664062499999996,-3.003125,-0.67568359375,-2.3274414062499997,5
TBI,-0.23701171875,-3.8625,3.62548828125,-2.0328125,-1.6921875,-0.34062499999999996,5
TEE,-0.508984375,-5.0875,4.5785156250000005,-0.828125,-2.4859375,1.6578125,5
TIPS,-0.047900390625,-0.8359375,0.788037109375,-0.12900390625,-0.40859375,0.27958984374999996,5
TPA,-0.3421875,-0.617578125,0.275390625,-0.625,-0.33984375,-0.28515625,5
TSH,-0.928125,-1.734375,0.80625,-1.146875,-1.540625,0.3937499999999998,5
TTP,-0.33515625,-5.79375,5.45859375,-0.470703125,-0.6412109375,0.17050781250000002,5
VAC,-1.2734375,-4.84375,3.5703125,-2.40625,-1.971875,-0.43437499999999996,5
VBAC,-0.12509765625,-1.04140625,0.9163085937500001,-0.2220703125,-0.773828125,0.5517578125,5
